,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие метана,Радиационное воздействие углекислого газа
1004,2007-08-16 00:00:00,"27.00, 33.00",-8.114544868469238,-0.1814658939838409,-0.1206099018454551
1005,2007-08-16 00:00:00,"24.00, 27.00",-3.998170375823975,-0.1305842250585556,-0.0873245745897293
1006,2007-08-16 00:00:00,"24.00, 30.00",-5.425097942352295,-0.1423507183790207,-0.0944351702928543
1007,2007-08-16 00:00:00,"24.00, 33.00",-7.177071571350098,-0.1739093363285064,-0.1131444126367569
1008,2007-09-16 00:00:00,"30.00, 27.00",0.6866668462753296,0.2179911285638809,1.1049773693084717
1009,2007-09-16 00:00:00,"30.00, 30.00",0.6693257689476013,0.2110951691865921,1.1061757802963257
1010,2007-09-16 00:00:00,"30.00, 33.00",0.7196899652481079,0.1721537262201309,1.0193034410476685
1011,2007-09-16 00:00:00,"27.00, 27.00",0.7537099123001099,0.28546142578125,1.2588114738464355
1012,2007-09-16 00:00:00,"27.00, 30.00",0.7908945679664612,0.3172861635684967,1.389582276344299
1013,2007-09-16 00:00:00,"27.00, 33.00",0.9192301630973816,0.3468444943428039,1.625238060951233
1014,2007-09-16 00:00:00,"24.00, 27.00",0.5622324347496033,0.3665384948253631,1.5203359127044678
1015,2007-09-16 00:00:00,"24.00, 30.00",0.8513132929801941,0.3618316650390625,1.5475972890853882
1016,2007-09-16 00:00:00,"24.00, 33.00",1.2591023445129397,0.3751973509788513,1.6273406744003296
1017,2007-09-16 00:00:00,"30.00, 27.00",-4.121070384979248,-0.1184911057353019,-0.0817225128412246
1018,2007-09-16 00:00:00,"30.00, 30.00",-4.491913795471191,-0.1260991394519806,-0.0881469696760177
1019,2007-09-16 00:00:00,"30.00, 33.00",-4.987985134124756,-0.1127105727791786,-0.0815800949931144
1020,2007-09-16 00:00:00,"27.00, 27.00",-3.745910167694092,-0.1146779358386993,-0.0772476196289062
1021,2007-09-16 00:00:00,"27.00, 30.00",-4.131261825561523,-0.1207117736339569,-0.0825124084949493
1022,2007-09-16 00:00:00,"27.00, 33.00",-6.68821907043457,-0.1671223938465118,-0.1124598160386085
1023,2007-09-16 00:00:00,"24.00, 27.00",-2.806326389312744,-0.1285827606916427,-0.0848866775631904
1024,2007-09-16 00:00:00,"24.00, 30.00",-4.573453426361084,-0.1383493989706039,-0.0897811874747276
1025,2007-09-16 00:00:00,"24.00, 33.00",-8.483336448669434,-0.1627385467290878,-0.1035110503435134
1026,2007-10-16 00:00:00,"30.00, 27.00",0.6295047998428345,0.2506930530071258,1.0909847021102903
1027,2007-10-16 00:00:00,"30.00, 30.00",0.7377703189849854,0.2440756559371948,1.0957887172698977
1028,2007-10-16 00:00:00,"30.00, 33.00",0.7603799104690552,0.2077321708202362,1.004676103591919
1029,2007-10-16 00:00:00,"27.00, 27.00",0.7348603010177612,0.3096106648445129,1.2448573112487793
1030,2007-10-16 00:00:00,"27.00, 30.00",1.0711581707000732,0.3300003409385681,1.331390380859375
1031,2007-10-16 00:00:00,"27.00, 33.00",1.0693172216415403,0.3454274833202362,1.5084593296051023
1032,2007-10-16 00:00:00,"24.00, 27.00",0.6650282144546509,0.3910807967185974,1.5083047151565552
1033,2007-10-16 00:00:00,"24.00, 30.00",1.2024871110916138,0.3670811951160431,1.4650081396102903
1034,2007-10-16 00:00:00,"24.00, 33.00",1.4144030809402466,0.3541997969150543,1.4791053533554075
1035,2007-10-16 00:00:00,"30.00, 27.00",-3.407325029373169,-0.1068294867873191,-0.0673911795020103
1036,2007-10-16 00:00:00,"30.00, 30.00",-4.358273983001709,-0.1121213361620903,-0.0714054703712463
1037,2007-10-16 00:00:00,"30.00, 33.00",-4.085569858551025,-0.1009108051657676,-0.065773993730545
1038,2007-10-16 00:00:00,"27.00, 27.00",-3.4110007286071777,-0.1050380617380142,-0.0648626536130905
